Athlete,Affiliate,Country,Region,Division,Rank,Games_Level,Qualifier,Back Squat (lbs),Clean and Jerk (lbs),Deadlift (lbs),Snatch (lbs),Fight Gone Bad,Max Pull-ups,Chad1000x (s),L1 Benchmark (s),Filthy 50 (s),Fran (s),Grace (s),Helen (s),Run 5k (s),Sprint 400m (s)
Christopher Brzozowski,Queen City CrossFit,,worldwide,Men,39589,worldwide,open,405,275,510,205,,,,,,,188,,,
Conor Gissane,Blitz CrossFit,,worldwide,Men,39600,worldwide,open,374.7854,275.5775,496.0395,222.66662,,40,,,,175,132,,,
Dago Alcaraz Schramm,CrossFit Nopal,,worldwide,Men,39604,worldwide,open,405,285,405,225,,,,,,178,163,,,
Laura Whitney,Wild Horizons CrossFit,,worldwide,Women,39652,worldwide,open,190,,260,,,,,,,,,,,
Toi Windham,Hongtai CrossFit,,worldwide,Women,39656,worldwide,open,265,135,275,105,,,,,,420,,,1500,74
Igor Tupinamba,,,worldwide,Men,39662,worldwide,open,,253.5313,396.8316,198.4158,,45,,,,257,203,489,1240,65
Pawel Wojciechowski,CrossFit Lea,,worldwide,Men,39670,worldwide,open,352.7392,288.80522,,224.87124,,,,,,260,,,,
Brittany Vigoreaux,CrossFit Loft,,worldwide,Women,39703,worldwide,open,245,160,300,100,,12,,,,,,,1513,
Kourtney Cox,CrossFit Kokomo,,worldwide,Women,39726,worldwide,open,240,200,315,160,,33,,,,194,137,574,1407,
Duncan Franey,Grandstand CrossFit,,worldwide,Men,39780,worldwide,open,396.8316,275.5775,507.0626,216.05276,,,,,,237,137,,1097,51
Stephanie McCleave,CrossFit Devils Path,,worldwide,Women,39781,worldwide,open,176.3696,138.89106,100,94.79866,,25,,,,,,,1652,
Katherine Neely,CrossFit Iron Shamrock,,worldwide,Women,39782,worldwide,open,185,135,205,100,,,,,,,,,,
Nathaniel Elsner,CrossFit Indianapolis,,worldwide,Men,39789,worldwide,open,,,,,332,,,,,235,,,,
Rok Vrecar,CrossFit Ljubljana,,worldwide,Men,39806,worldwide,open,308.6468,242.5082,374.7854,176.3696,,,,,,,,,,65
Austin Ray,Hammer CrossFit East,,worldwide,Men,39808,worldwide,open,300,250,425,200,,,,,,,,,,
Josh White,CrossFit Forever,,worldwide,Men,39819,worldwide,open,355,245,365,195,,30,,,,207,238,,,
Johannes Frank,CrossFit Werk,,worldwide,Men,39838,worldwide,open,370.37616,264.5544,451.9471,224.87124,,22,,,,206,147,565,1207,
Joshua Haynes,CrossFit Little Creek,,worldwide,Men,39843,worldwide,open,455,315,500,245,307,37,,,,218,179,,,
David DiLustro II,CrossFit Italian Village,,worldwide,Men,39870,worldwide,open,365,255,455,195,,,,,,229,,,,
Philip Longo,Compound CrossFit,,worldwide,Men,39878,worldwide,open,330,225,405,201,286,50,,,1403,259,198,,1415,
Helen Cantero,Destination CrossFit,,worldwide,Women,39914,worldwide,open,205,120,250,85,262,,,,,,,616,1361,
Kayla Donahue,CrossFit Chamblee,,worldwide,Women,39925,worldwide,open,170,135,245,110,215,6,,,1885,305,187,650,1610,91
Thery Gregoire,Saint Pierre du Mont CrossFit,,worldwide,Men,39928,worldwide,open,429.9009,297.6237,451.9471,231.4851,,33,,,,230,160,,,
Adam Romano,CrossFit de la Paix,,worldwide,Men,39971,worldwide,open,345,245,435,205,,6,,,,264,150,,,
Eric Moran,,,worldwide,Men,39976,worldwide,open,400,300,475,255,,30,,,,285,178,,,90
Jacky Alarja,CrossFit Ramallah,,worldwide,Women,40005,worldwide,open,220.462,143.3003,286.6006,103.61714,,,,,,,,,,
Matthew Vegliante,Wasatch CrossFit,,worldwide,Men,40010,worldwide,open,345,255,405,185,,48,,,1118,194,147,454,1106,62
Lorenzo Perez,CrossFit CTM Avenue,,worldwide,Men,40011,worldwide,open,210,165,305,95,,,,,,,,640,,
Matthew Seiter,CrossFit Activate,,worldwide,Men,40022,worldwide,open,503,375,525,280,,36,,,,164,,,,
Ian Kilpatrick,CrossFit Addict,,worldwide,Men,40036,worldwide,open,360,275,505,200,,,,,,,,,,
Chase Young,Palo Duro CrossFit,,worldwide,Men,40041,worldwide,open,300,205,365,165,,56,,,,,,,,
Daniella Ceballos,CrossFit Massapequa,,worldwide,Women,40081,worldwide,open,190,135,235,110,,,,,,411,217,,,
Matthew Porcaro,CrossFit Pace Performance,,worldwide,Men,40090,worldwide,open,350,265,450,205,250,15,,,1580,,111,,1710,
Halye Cohen,CrossFit Evviva,,worldwide,Women,40105,worldwide,open,325,210,365,190,,,,,,,137,,1846,
Justin Acosta,North Frisco CrossFit,,worldwide,Men,40106,worldwide,open,440,265,420,190,,57,,,,130,,,1470,61
Olivia Hicks,Fitness Alley CrossFit,,worldwide,Women,40144,worldwide,open,,,253.5313,103.61714,,,,,,,,,,
Joseph Ales,,,worldwide,Men,40154,worldwide,open,385,285,551,205,,,,,,,147,595,,
Brian Otto,CrossFit Vanquish,,worldwide,Men,40155,worldwide,open,,,,,,20,,,,306,,553,1466,70
Ticiana Costa,CrossFit Lago Sul,,worldwide,Women,40177,worldwide,open,116.84486,105.82176,143.3003,72.75246,,,,,,,,,,
David Walby,CrossFit Love Field,,worldwide,Men,40177,worldwide,open,405,275,405,225,349,48,,,1137,237,153,536,,
Luigina Facchini,CrossFit Norwich,,worldwide,Women,40207,worldwide,open,270,195,375,145,,9,,,,390,144,,,109
James Russ,CrossFit 9 Degrees,,worldwide,Men,40209,worldwide,open,350,230,,225,,,,,,,,,,
Dion van der Helden,CrossFit Asperen,,worldwide,Men,40217,worldwide,open,330.693,231.4851,429.9009,154.3234,,,,,,210,164,,,
Fernando Pereira,CrossFit Átria,,worldwide,Men,40226,worldwide,open,352.7392,264.5544,418.8778,220.462,,,,,,,,,1810,
Thibaud Desutter,CrossFit Vauban,,worldwide,Men,40227,worldwide,open,231.4851,176.3696,319.6699,132.2772,,40,,,,,,,,70
Andy Prostor,CrossFit Sandusky,,worldwide,Men,40243,worldwide,open,340,235,385,190,,,,,,191,,,1043,62
Guilherme Braga,The Bakery CrossFit,,worldwide,Men,40263,worldwide,open,363.7623,275.5775,396.8316,220,,45,,,,225,155,,,
Kim Chenel,,,worldwide,Men,40265,worldwide,open,445,295,505,225,,24,,,,,,,1560,
Bradley Williams,CrossFit Forward,,worldwide,Men,40273,worldwide,open,300,235,450,165,306,41,,,,238,,517,,71
Amisha Lindsey,Skyline CrossFit,,worldwide,Women,40292,worldwide,open,200,155,235,120,,,,,,,,,,
Einar Haraldsson,CrossFit Hengill,,worldwide,Men,40345,worldwide,open,286.6006,235.89434,330.693,187.3927,314,21,,,,341,264,,,
Samantha Doria,Union City CrossFit,,worldwide,Women,40346,worldwide,open,155,105,175,,,26,,,,,,,,
John Moody,Potrero CrossFit,,worldwide,Men,40363,worldwide,open,365,265,405,215,,,,,,217,161,598,1112,50
Max Adamsky,AK CrossFit,,worldwide,Men,40368,worldwide,open,345,275,480,235,,,,,,353,133,668,,
Darragh O'Mara,CrossFit Tosú,,worldwide,Men,40373,worldwide,open,496.0395,352.7392,573.2012,253.5313,,12,,,,,,,1580,
Kasey Waite,CrossFit Schenectady,,worldwide,Women,40405,worldwide,open,175,128,251,103,,,,,,,,,,
De wet Meyer,CrossFit Menlyn Maine,,worldwide,Men,40427,worldwide,open,352.7392,286.6006,507.0626,198.4158,,,,,,,,,,
Mary-Louise Christodoulatos,Vigorous CrossFit,,worldwide,Women,40436,worldwide,open,209.4389,154.3234,286.6006,132.2772,,3,,,,,,,,
Jared Case,CrossFit Kennett Square,,worldwide,Men,40461,worldwide,open,355,225,390,165,351,32,,,1258,162,178,518,,74
Nadine Zeuner,CrossFit Erlangen,,worldwide,Women,40462,worldwide,open,187.3927,143.3003,253.5313,114.64024,279,10,,,,576,228,760,1830,97
Karina Oliveira,Avanti CrossFit SPL,,worldwide,Women,40487,worldwide,open,205,135,280,110,,10,,,,,262,,,
Katherine Orehek,CrossFit Vertex,,worldwide,Women,40497,worldwide,open,195,145,210,115,,,,,,247,,,,
Bruno Velazquez,CrossFit SK,,worldwide,Men,40517,worldwide,open,293.21446,231.4851,363.7623,160.93726,,,,,,,194,,,
Matthew Zang,Camelback CrossFit,,worldwide,Men,40527,worldwide,open,350,265,385,165,300,30,,,,358,,,1464,
Kalei Woodson,CrossFit Fort Lauderdale,,worldwide,Women,40544,worldwide,open,,,,,,,,,,,,,1302,
Jennifer Saavedra,CrossFit Rapid Fire,,worldwide,Women,40598,worldwide,open,213,150,283,100,,,,,,,,,1739,
Robert Gump,CrossFit SML,,worldwide,Men,40616,worldwide,open,355,255,405,205,,16,3918,,,248,192,512,,78
Dan Bell,Sea City CrossFit,,worldwide,Men,40625,worldwide,open,286.6006,220.462,363.7623,132.2772,,,,,,,,,,
Patrick Labat,CrossFit de l'ouest,,worldwide,Men,40640,worldwide,open,355,275,500,235,120,3,,,,,,,1128,
Meghan Baublit,CrossFit Tides,,worldwide,Women,40645,worldwide,open,245,200,270,145,270,15,,,1995,356,193,676,,
Christopher White,Oroville CrossFit,,worldwide,Men,40663,worldwide,open,405,305,455,235,396,,,,,203,,,,64
Melinda Parish,CrossFit Asheboro,,worldwide,Women,40703,worldwide,open,355,245,355,170,,,,,,,110,,,
José Agüero,GTC CrossFit,,worldwide,Men,40713,worldwide,open,396.8316,,440.924,,,,,,,,,,1280,
Corentin Brusten,CrossFit Soignies,,worldwide,Men,40761,worldwide,open,321.87452,244.71282,429.9009,,,,,,,236,,,,
Michael Lagana,CrossFit Verity,,worldwide,Men,40800,worldwide,open,350,255,405,195,246,,,,2064,301,374,661,,
Eric Huling,CrossFit Everlasting,,worldwide,Men,40930,worldwide,open,375,245,455,180,,38,,,,,,,,
Dana Mellage,OTAC CrossFit,,worldwide,Men,40992,worldwide,open,350,265,435,185,,,,,,,,,1290,
Marissa Uram,CrossFit 519,,worldwide,Women,41026,worldwide,open,225,,,,,,,,,,,,,
Colin Sauter,CrossFit Activate,,worldwide,Men,41084,worldwide,open,,315,440,265,,,,,1724,,,,,
Jerry Mourey,,,worldwide,Men,41086,worldwide,open,315,270,405,215,,,,,,312,154,631,1485,90
Gabriel Chaves,CrossFit 79,,worldwide,Men,41102,worldwide,open,308.6468,245,330.693,215,,,,,,,,,,
Eric Kapilik,CrossFit BC,,worldwide,Men,41113,worldwide,open,385,308,501,254,,,,,,317,,,,
Jeffrey Johnson Jr.,CrossFit Willow,,worldwide,Men,41118,worldwide,open,315,255,375,190,,,,,,233,,,,
Caitlin Hyde,CrossFit North Industry,,worldwide,Women,41126,worldwide,open,173,138,228,93,289,,,,1656,618,284,742,1504,
Jeremy Cox,Skyline CrossFit,,worldwide,Men,41137,worldwide,open,360,28,365,220,,,,,,,,,,
Frank Sclafani,CrossFit Asheville,,worldwide,Men,41140,worldwide,open,345,245,365,155,,65,,,1610,194,299,632,1501,
Kasim Jujic,TSM CrossFit,,worldwide,Men,41200,worldwide,open,330.693,253.5313,451.9471,191.80194,,,,383,,191,,821,1464,
Stacy Wilson,CrossFit High Gear,,worldwide,Women,41224,worldwide,open,,,,,,,,,,,,,1384,
Anna Farrell,In2 CrossFit Farnham,,worldwide,Women,41240,worldwide,open,233.68972,160.93726,268.96364,110.231,,16,3600,,,410,169,637,1264,73
Will Cooper,CrossFit Laminin,,worldwide,Men,41242,worldwide,open,355,235,355,160,,,,,,199,,,,
Kevin Chang,,,worldwide,Men,41282,worldwide,open,341,270,415,205,199,15,,,1688,325,285,723,1438,
Grace Wheaton,CrossFit Potentia,,worldwide,Women,41285,worldwide,open,185,105,205,65,,,,,,,,,1588,
Trevor Nance,CrossFit Reignited ILM,,worldwide,Men,41322,worldwide,open,375,245,460,215,,,,,,208,161,,,
Julien Robert,CrossFit Rengō Valenciennes,,worldwide,Men,41323,worldwide,open,275.5775,220.462,330.693,176.3696,,,,,,357,,,1177,
Dilara Kuscu,CrossFit Bløf,,worldwide,Women,41327,worldwide,open,293.21446,165.3465,297.6237,121.2541,,,,,,379,268,,,
Tómas Gíslason,CrossFit Kraftvrk,,worldwide,Men,41327,worldwide,open,297.6237,253.5313,363.7623,198.4158,,,,,,,,,,
Carla Renata Santos,CrossFit Blumenau,,worldwide,Women,41340,worldwide,open,,156,235,125,,30,,,,435,316,,1779,
Sarah Crow,Choctaw CrossFit Antlers,,worldwide,Women,41365,worldwide,open,215,135,235,115,258,8,,,,432,281,726,,
Margaux Bellevegue,CrossFit Grenoble,,worldwide,Women,41373,worldwide,open,,,297.6237,,,,,,,,,,,
Mina Timmons,CrossFit 631 Red Woods,,worldwide,Women,41386,worldwide,open,225,175,295,125,,,,,,,,,,
Elodie Brignon,CrossFit Strasbourg,,worldwide,Women,41410,worldwide,open,165.3465,138.89106,235.89434,103.61714,,,,,,,420,,1720,
Chuan Fepuleai,CrossFit Siegen,,worldwide,Men,41417,worldwide,open,451.9471,374.7854,562.1781,315.26066,,26,,,,207,89,,,
Rafael Diaz,CrossFit Templum,,worldwide,Men,41419,worldwide,open,310,230,405,195,,,,,,313,,593,,
James Ross,DFC CrossFit,,worldwide,Men,41426,worldwide,open,410,309,495,270,,52,,,,177,115,491,,
Corey Tague,CrossFit Bangarang,,worldwide,Men,41473,worldwide,open,350,250,465,170,291,40,,,1781,170,123,594,1495,73
Romain Gilles,CrossFit Namur,,worldwide,Men,41483,worldwide,open,,,,,,,,,,202,,,,
Tommie Rubin,CrossFit 04320,,worldwide,Men,41504,worldwide,open,385.8085,253.5313,440.924,231.4851,,22,,,,335,,,,102
Haley Hopkins,Gulf Shores CrossFit,,worldwide,Women,41520,worldwide,open,,175,345,,,,,,,,,,,
Tom Miller,CrossFit Magni,,worldwide,Men,41539,worldwide,open,430,285,485,235,,30,,,,225,133,,,
Sarah Myers,Iron Talon CrossFit,,worldwide,Women,41589,worldwide,open,200,145,245,105,,,,,,411,193,710,,
Jorge Campozano,CrossFit Babahoyo,,worldwide,Men,41592,worldwide,open,,,,,,,,,1404,179,,508,,
Corentin Figiel,Discover CrossFit,,worldwide,Men,41597,worldwide,open,253.5313,187.3927,330.693,132.2772,,25,,,,,,,,
Bernardo Acosta,,,worldwide,Men,41603,worldwide,open,345,235,415,170,,,,,,313,,,,
Sara Perez Alonso,CrossFit Isla Bonita,,worldwide,Women,41625,worldwide,open,132.2772,99.2079,194.00656,70.54784,,,,,,360,,,,
Kristopher Lawless,CrossFit 720,,worldwide,Men,41633,worldwide,open,295,225,415,155,,,,,,,,,,
Sebastian Stark,CrossFit Endorfin Alingsas,,worldwide,Men,41650,worldwide,open,242.5082,,319.6699,,,,,,,,,,,
Kathleen Cox,CrossFit Narellan,,worldwide,Women,41697,worldwide,open,176.3696,121.2541,,99.2079,,,,,,,,,,
Jaeyong Jeong,CrossFit BTP,,worldwide,Men,41719,worldwide,open,,135,225,95,,10,,,,300,,,,
Ellie Stott,GritStone CrossFit,,worldwide,Women,41750,worldwide,open,165.3465,127.86796,220.462,97.00328,,,,,,,,,,
Dylan Crockart,Rolfe Valley CrossFit,,worldwide,Men,41777,worldwide,open,,264.5544,,187.3927,,,,,,180,157,,,
Philippe Boucher,,,worldwide,Men,41790,worldwide,open,275,225,315,165,,,,,,552,290,,,
Isacc Loor,,,worldwide,Men,41803,worldwide,open,330,275,425,240,241,,,,1712,285,170,710,,
Ivan Culin,,,worldwide,Men,41819,worldwide,open,319.6699,264.5544,396.8316,191.80194,,56,,,,171,169,,,
Kirk Taylor,Choctaw CrossFit,,worldwide,Men,41825,worldwide,open,410,320,510,225,411,,,,,136,117,518,1204,
Jordan Sonora,,,worldwide,Men,41826,worldwide,open,455,315,505,225,440,65,,,,160,75,482,1045,56
Krista Turner,CrossFit Anchored Athletics,,worldwide,Women,41839,worldwide,open,260,175,300,130,277,20,,,1567,400,251,766,1637,78
Carlos Estebanez,CrossFit Warehouse,,worldwide,Men,41848,worldwide,open,375,265,385,220,,25,,,,,150,,1685,
Christian Genson,Modern Human CrossFit,,worldwide,Men,41853,worldwide,open,275,195,315,155,,,,,,,,,,
Thomas Felstead,CrossFit 608,,worldwide,Men,41875,worldwide,open,395,315,425,250,,50,,,1290,137,150,,,60
Alec Schmidt,Lakeshore CrossFit,,worldwide,Men,41901,worldwide,open,264.5544,231.4851,392.42236,171.96036,292,,,,,,,,,
Mathieu Deletombe,CrossFit Tignieu,,worldwide,Men,41904,worldwide,open,330.693,264.5544,440.924,176.3696,,,,,,,,,,
Justin Cudmore,CrossFit Origin,,worldwide,Men,41924,worldwide,open,418.8778,304.23756,473.9933,257.94054,,42,,,,143,140,,1010,
Natalie Quevedo,Nostra CrossFit,,worldwide,Women,41934,worldwide,open,,130,220,,,,,,,,,,,
Morgan Rummel,,,worldwide,Men,41946,worldwide,open,475,352,485,290,,59,,,,142,149,,,
Stephanie Karch,CrossFit 453,,worldwide,Women,41961,worldwide,open,225,145,305,100,294,,,,,385,332,666,1501,80
Jonathan Kirk,CrossFit Fortify,,worldwide,Men,42007,worldwide,open,300,225,365,185,,21,,,,361,239,649,,59
Kévin Lumineau,Rupella CrossFit,,worldwide,Men,42025,worldwide,open,242.5082,187.3927,330.693,143.3003,252,,,,,465,,,,
Jack Nash,CrossFit 306,,worldwide,Men,42049,worldwide,open,,,,,,,,,,,,,,
Aaron Aiken,CrossFit 8035,,worldwide,Men,42067,worldwide,open,345,225,455,175,,,,,,,,,,
Claudia Hesky,CrossFit B.O.B.,,worldwide,Women,42068,worldwide,open,231.4851,154.3234,275.5775,,,,,,,395,227,,,
Trae Frisbee,Midwestern Built CrossFit,,worldwide,Men,42108,worldwide,open,385,280,475,205,,62,,,,143,,,1272,61
Kyle Bodenhamer,CrossFit Republic,,worldwide,Men,42118,worldwide,open,395,275,505,195,,,,,,,,,,
Dora Czekmeister,CrossFit Glasshouse,,worldwide,Women,42126,worldwide,open,220.462,138.89106,266.75902,94.79866,,,,,,,,,,
Tara Gurtner,CrossFit Verge,,worldwide,Women,42160,worldwide,open,227.07586,149.91416,264.5544,94.79866,,,,,,345,,,,
Guilherme de Almeida,CrossFit Rio Preto,,worldwide,Men,42168,worldwide,open,308,207,352,163,,40,,,,170,,,,
Ariana Baker,CrossFit Hephzibah,,worldwide,Women,42172,worldwide,open,275,175,300,130,,,,,,,293,,,
Tom Geairn,CrossFit 061,,worldwide,Men,42201,worldwide,open,365,265,505,205,,,,,2055,345,233,640,1417,71
Blake Coffman,Full Circle CrossFit,,worldwide,Men,42213,worldwide,open,300,255,365,205,,,2901,,,256,177,,,
Paul Jackowski,Patriot CrossFit,,worldwide,Men,42220,worldwide,open,330,230,415,165,,,,,,,,,,
Hyungseok Wang,CrossFit ON and ON,,worldwide,Men,42222,worldwide,open,305,225,375,165,,20,,,,,,,,
Zachary Dylik,Bloodline CrossFit,,worldwide,Men,42231,worldwide,open,,,,,,36,,,1192,,,473,,
Kristoffer Bråten,CrossFit Grimstad,,worldwide,Men,42241,worldwide,open,357.14844,271.16826,440.924,209.4389,247,36,,,1815,305,154,577,1439,74
Oceanos Martins,Punk CrossFit,,worldwide,Men,42245,worldwide,open,315,265,405,205,,,,,,,,,1450,
Carl Karlson-Weimann,CrossFit Vanheim,,worldwide,Men,42257,worldwide,open,363.7623,224.87124,407.8547,,,,,,,,,,1179,
Mike Brechbuhler,CrossFit Langnau,,worldwide,Men,42268,worldwide,open,363.7623,224.87124,451.9471,176.3696,304,50,,,,157,295,486,1251,64
Anthony Ricci,CrossFit Sacramento,,worldwide,Men,42274,worldwide,open,485,325,500,255,,,,,,131,116,,,
Thomas Ressicaud,CrossFit L'Ondaine,,worldwide,Men,42286,worldwide,open,,264.5544,,227.07586,,51,,,,,,,,
Andres Trujillo,Kallpa CrossFit,,worldwide,Men,42287,worldwide,open,285,230,380,185,,50,,,,,,,,
Matt Brown,CrossFit Crossing,,worldwide,Men,42303,worldwide,open,285,230,350,180,,,,,,312,219,,,
Louise Sams,CrossFit Bondi,,worldwide,Women,42333,worldwide,open,170,,220.462,,,,,,,,,,,
Rick Porter,CrossFit Fayetteville,,worldwide,Men,42334,worldwide,open,450,315,495,271,,26,,,,324,,,1197,
Oskar Eriksson,Kronan CrossFit,,worldwide,Men,42342,worldwide,open,242.5082,,341.7161,,,,,,,,,,,
Michael Lee,CrossFit Vauxhall,,worldwide,Men,42346,worldwide,open,,,,,,,,,,,,,1395,
Logan Eckert,CrossFit Folsom Lake,,worldwide,Men,42372,worldwide,open,335,260,435,205,,,,,,,,,,
Nicole Giove,CrossFit North Scottsdale,,worldwide,Women,42399,worldwide,open,170,140,260,90,,,,,,,,,,
Madeline Rende,Empire State CrossFit,,worldwide,Women,42463,worldwide,open,200,120,305,120,,,,,,,359,,,
Matheus Candido,Exeter CrossFit,,worldwide,Men,42488,worldwide,open,305,235,405,175,,20,,,,,,,1191,
David Carasiti,Titan CrossFit,,worldwide,Men,42496,worldwide,open,500,335,485,255,349,31,4598,,,278,137,628,,
Cami Makinson,MidState CrossFit,,worldwide,Women,42531,worldwide,open,275,200,300,165,,,,,,,,,,
Hannes Fischer,CrossFit Schmiden,,worldwide,Men,42548,worldwide,open,363.7623,297.6237,496.0395,220.462,,20,,,1643,264,151,793,,
Lauren Hayes,Trident CrossFit,,worldwide,Women,42570,worldwide,open,235,160,285,110,,,,,,,,,,
Slavko D'Anzul,CrossFit Heliaca,,worldwide,Men,42575,worldwide,open,341.7161,220.462,451.9471,165.3465,,,,,,234,183,,,58
Mitchell Phelps,CrossFit Controlled Chaos,,worldwide,Men,42582,worldwide,open,345,255,435,185,,45,,,,168,,502,1350,65
Bryce Wince,Catoctin CrossFit,,worldwide,Men,42589,worldwide,open,415,335,485,255,,,,,,162,117,464,,61
Martin Kordev,CrossFit Senec,,worldwide,Men,42626,worldwide,open,,154.3234,319.6699,143.3003,,,,,,,,,,
Darius Shanklin,CrossFit Eclipse,,worldwide,Men,42678,worldwide,open,315,245,415,200,,40,,,,,152,555,,
Whitney Damianidis,Three Ships CrossFit,,worldwide,Women,42679,worldwide,open,,145,235,110,,,,,,,,,,72
Mackenzie Hoy,CrossFit Holdfast,,worldwide,Women,42715,worldwide,open,245,187,315,134,,,,,,,,,2100,
Mackenzie Hoy,CrossFit Holdfast,,worldwide,Women,42715,worldwide,open,245,187,315,134,,,,,,,,,2100,
Angela Newton,BTX CrossFit,,worldwide,Women,42732,worldwide,open,180,145,225,100,,,,,,,,,,
Deborah Helen Manlove,TIO CrossFit,,worldwide,Women,42741,worldwide,open,253.5313,187.3927,286.6006,143.3003,,,,,,,191,,1350,
Alexandre Rousselin,CrossFit Voiron,,worldwide,Men,42756,worldwide,open,253.5313,198.4158,359.35306,176.3696,293,,,,,,,,,
Nicolas Pooli,CrossFit Deusto,,worldwide,Men,42762,worldwide,open,363.7623,264.5544,440.924,205.02966,,32,,,,210,173,507,1253,53
Esteban Cruz,,,worldwide,Men,42772,worldwide,open,390,255,465,230,,,,,,,,,,
Boumlid Idir,CrossFit Castres,,worldwide,Men,42785,worldwide,open,374.7854,275.5775,462.9702,209.4389,,50,,,,194,182,,,
Perri Goldberg,CrossFit Bison,,worldwide,Women,42816,worldwide,open,225,,265,105,,,,,,,,,,
Scott Bennett,Aubrey CrossFit,,worldwide,Men,42868,worldwide,open,335,255,365,215,,,,,,372,184,722,,
Chloe Phillips,H1 CrossFit,,worldwide,Women,42889,worldwide,open,280,220,350,170,,10,,,,314,208,,1287,115
Jered Price,CrossFit Equity,,worldwide,Men,42917,worldwide,open,545,325,525,220,335,10,,,,249,143,676,1380,89
Justin Jernigan,Choctaw CrossFit,,worldwide,Men,42918,worldwide,open,375,245,450,170,281,,,,,172,297,512,1343,
Joan Rius Graell,CrossFit Eixample,,worldwide,Men,42962,worldwide,open,286.6006,220.462,374.7854,154.3234,,,,,,270,,,,
Christopher Orcutt,Rhino CrossFit II,,worldwide,Men,42972,worldwide,open,335,265,405,215,344,40,,,1270,180,159,481,1300,65
Josh Roberts,,,worldwide,Men,42978,worldwide,open,380,315,500,225,,30,,,,270,175,,1242,58
Chase Rowan,Twelve Lions CrossFit,,worldwide,Men,43006,worldwide,open,355,,375,,,,,,,483,,,,
Jim Mahan,Mad Apple CrossFit,,worldwide,Men,43034,worldwide,open,315,255,425,205,,,,,,,,,1800,
Johnny Chen,CrossFit Potrero Hill,,worldwide,Men,43065,worldwide,open,350,250,415,190,276,32,,,1786,231,158,769,,
Jack Howie,,,worldwide,Men,43112,worldwide,open,352.7392,264.5544,462.9702,191.80194,,,,,,240,210,,,
